"synsetid","sampleid","sample"
"104638585","1","too much indulgence spoils a child"
"104638857","1","softness is not something permitted of good leaders"
"104639732","1","severity of character"
"104639732","2","the harshness of his punishment was inhuman"
"104639732","3","the rigors of boot camp"
"104640356","1","the victor's grace in treating the vanquished"
"104642258","1","his temper was well known to all his employees"
"104642746","1","his intolerance of interruptions"
"104644306","1","charges of litigiousness and widespread perjury"
"104644512","1","he expressed his willingness to help"
"104644719","1","readiness to continue discussions"
"104644719","2","they showed no eagerness to spread the gospel"
"104644719","3","they disliked his zeal in demonstrating his superiority"
"104644719","4","he tried to explain his forwardness in battle"
"104645020","1","he was testing the government's receptiveness to reform"
"104645020","2","this receptiveness is the key feature in oestral behavior\, enabling natural mating to occur"
"104645020","3","their receptivity to the proposal"
"104645599","1","his unwillingness to cooperate vetoed every proposal I made"
"104645599","2","in spite of our warnings he plowed ahead with the involuntariness of an automaton"
"104645943","1","a reluctance to commit himself"
"104645943","2","his hesitancy revealed his basic indisposition"
"104645943","3","after some hesitation he agreed"
"104646548","1","a lack of solemnity is not necessarily a lack of seriousness"
"104646990","1","a man of energy and commitment"
"104647185","1","this job calls for the investment of some hard thinking"
"104647185","2","he made an emotional investment in the work"
"104648866","1","her mood changed and she was all lightness and joy"
"104649261","1","her playfulness surprised me"
"104649261","2","he was fun to be with"
"104650201","1","she didn't appreciate my humor"
"104650201","2","you can't survive in the army without a sense of humor"
"104651974","1","his silence about my contribution was surprising"
"104652345","1","mum's the word"
"104652635","1","mammals as a class are not strong on sociality"
"104655168","1","the queen's condescension was intended to make us feel comfortable"
"104655442","1","the absence of fences created a mysterious intimacy in which no one knew privacy"
"104656598","1","when he learned who I was he became all sweetness and light"
"104658106","1","he could not conceal his hostility"
"104658361","1","the virulence of the malicious old man"
"104659287","1","he enjoyed the flexibility of his working arrangement"
"104659567","1","the request left some wiggle room for future restructuring"
"104659730","1","he was valued for his reliability and pliability"
"104659730","2","he increased the leanness and suppleness of the organization"
"104661151","1","he was a man of judicial deliberation"
"104662390","1","it was a policy of desperation"
"104663494","1","I admired the carefulness of his work"
"104664058","1","a man of caution"
"104664778","1","he keeps a weather eye open for trouble"
"104666083","1","he inherited his delinquency from his father"
"104666083","2","his derelictions were not really intended as crimes"
"104666083","3","his adolescent protest consisted of willful neglect of all his responsibilities"
"104668139","1","the students associated science with masculinity and arts with effeminacy"
"104668139","2","Spartans accused Athenians of effeminateness"
"104668139","3","he was shocked by the softness of the atmosphere surrounding the young prince\, arising from the superfluity of the femininity that guided him"
"104669247","1","he holds a position of great responsibility"
"104669692","1","it was John's fault"
"104671075","1","the solidity of the evidence worked in his favor"
"104671075","2","the solidness of her faith gave her enduring hope"
"104671841","1","I despair at the flightiness and whimsicality of my memory"
"104673668","1","her pleasant personality is already a recommendation"
"104673668","2","his wealth was not a passport into the exclusive circles of society"
"104674715","1","I don't like the looks of this place"
"104674861","1","they look the same in outward view"
"104675314","1","he made a good impression"
"104675314","2","I wanted to create an impression of success"
"104675314","3","she retained that bold effect in her reproductions of the original painting"
"104675646","1","he cut a fine figure"
"104675646","2","a heroic figure"
"104675777","1","although her popular image was contrived it served to inspire music and pageantry"
"104675777","2","the company tried to project an altruistic image"
"104676064","1","it was in London that he made his mark"
"104676064","2","he left an indelible mark on the American theater"
"104676540","1","the full phase of the moon"
"104677113","1","the audience was held by the substance of the play rather than by the superficies of the production"
"104677514","1","the delicate cast of his features"
"104677716","1","a public image is as fragile as Humpty Dumpty"
"104677952","1","he hoped his claims would have a semblance of authenticity"
"104677952","2","he tried to give his falsehood the gloss of moral sanction"
"104677952","3","the situation soon took on a different color"
"104678401","1","the plaintiff claimed that under color of law the officer had deprived him of his civil rights"
"104678908","1","under the guise of friendship he betrayed them"
"104679074","1","the theatrical notion of disguise is always associated with catastrophe in his stories"
"104679419","1","the face of the city is changing"
"104679549","1","a pleasant countenance"
"104679549","2","a stern visage"
"104679738","1","a sad expression"
"104679738","2","a look of triumph"
"104679738","3","an angry face"
"104680465","1","chromosomes exhibit characteristic bands"
"104680465","2","the black and yellow banding of bees and wasps"
"104681058","1","they chipped off bark to mark the trail with blazes"
"104681058","2","the horse had a blaze between its eyes"
"104681230","1","the plane was just a speck in the sky"
"104682319","1","her red hat gave her outfit a splash of color"
"104682462","1","a bald spot"
"104682462","2","a leopard's spots"
"104682462","3","a patch of clouds"
"104682462","4","patches of thin ice"
"104682462","5","a fleck of red"
"104683136","1","a green toad with small black stripes or bars"
"104683136","2","may the Stars and Stripes forever wave"
"104684358","1","the glory of the sunrise"
"104684872","1","the liveliness and pleasingness of dark eyes"
"104687119","1","the sultriness of her look was unmistakable"
"104687119","2","the sultriness of lust was in the air"
"104687333","1","his smile was part of his appeal to her"
"104687633","1","he succumbed to the siren call of the wilderness"
"104687822","1","he gets by largely on pure spiff"
"104688246","1","her personality held a strange attraction for him"
"104688648","1","an affinity for politics"
"104688648","2","the mysterious affinity between them"
"104688648","3","James's affinity with Sam"
"104689048","1","she was an invitation to trouble"
"104689450","1","he held the children spellbound with magic tricks and other fascinations"
"104689942","1","she has a show-stopper of a smile"
"104689942","2","the brilliant orange flowers against the green foliage were a showstopper"
"104691178","1","there were distinguishing disfigurements on the suspect's back"
"104691178","2","suffering from facial disfiguration"
"104691651","1","fine clothes could not conceal the girl's homeliness"
"104692157","1","a facial blemish"
"104693096","1","there was a crack in the mirror"
"104693557","1","the book was in good condition except for a dig in the back cover"
"104694293","1","a cigarette burn on the edge of the table"
"104694441","1","he had a smudge on his cheek"
"104695176","1","the wine left a dark stain"
"104697084","1","pressure causes plantar warts to develop a painful callus around the soft center"
"104697442","1","the room was simply decorated with great restraint"
"104697819","1","I was struck by the starkness of my father's room"
"104699936","1","he wrote with great flamboyance"
"104700496","1","his etiolation signaled years in prison"
"104700642","1","the boat had a metallic finish"
"104700642","2","he applied a coat of a clear finish"
"104700642","3","when the finish is too thin it is difficult to apply evenly"
"104701267","1","his trousers had a sharp crease and you could see your reflection in his shoeshine"
"104701460","1","when she awoke the clarity was back in her eyes"
"104702545","1","a windshield with good visibility"
"104702957","1","exercise had given his muscles superior definition"
"104703235","1","in focus"
"104703235","2","out of focus"
"104704839","1","the scene had the swirling vagueness of a painting by Turner"
"104705196","1","the fissiparity of religious sects"
"104705671","1","the dullness of the pencil made his writing illegible"
"104706882","1","the blatancy of his attempt to whitewash the crime was unforgivable"
"104707409","1","the predomination of blues gave the painting a quiet tone"
"104708113","1","he rose through the ranks with apparent ease"
"104708113","2","they put it into containers for ease of transportation"
"104708113","3","the very easiness of the deed held her back"
"104708543","1","such effortlessness is achieved only after hours of practice"
"104708796","1","they conversed with great facility"
"104708796","2","a happy readiness of conversation"
"104709011","1","the five-speed manual gearbox is smoothness personified"
"104709253","1","they agreed about the difficulty of the climb"
"104710127","1","the asperity of northern winters"
"104710390","1","the sternness of his surroundings made him uncomfortable"
"104710588","1","he assigned a series of problems of increasing hardness"
"104710588","2","the ruggedness of his exams caused half the class to fail"
"104711256","1","you had to admire the subtlety of the distinctions he drew"
"104711665","1","the movers cursed the unwieldiness of the big piano"
"104712130","1","avoiding the unwieldiness of formal legal processes"
"104712130","2","the onset of unwieldiness and bureaucracy in large organizations"
"104713428","1","there was no agreement between theory and measurement"
"104713428","2","the results of two tests were in correspondence"
"104713853","1","it was performed with justness and beauty"
"104714679","1","he noticed a conflict in the dates of the two meetings"
"104715075","1","the irony of Ireland's copying the nation she most hated"
"104715487","1","an important requirement is suitability for long trips"
"104716491","1","the phrase had considerable aptness"
"104716703","1","this car could be just the ticket for a small family"
"104716864","1","they had to prove their fitness for the position"
"104717139","1","her qualifications for the job are excellent"
"104717139","2","one of the qualifications for admission is an academic degree"
"104717139","3","she has the makings of fine musician"
"104717552","1","eligibility of a candidate for office"
"104717552","2","eligibility for a loan"
"104718563","1","they offered the convenience of an installment plan"
"104719376","1","the materials at the command of the potters grew"
"104719805","1","he recognized her neediness but had no time to respond to it"
"104720024","1","she feared the painfulness of childbirth"
"104720226","1","the sharpness of her loss"
"104720536","1","the publicity of the court room"
"104721428","1","greater inaptness of expression would be hard to imagine"
"104721650","1","he retracted nothing that he had said about the inappropriateness of either a corporeal God or a God who is a person"
"104721650","2","his praise released from her loud protestations of her unworthiness"
"104722373","1","the judges agreed on his unfitness for the appointment"
"104723286","1","the Greek ethos"
"104723622","1","statistical evidence for the protectiveness of vaccination"
"104723816","1","the quality of mercy is not strained"
"104726724","1","it is the nature of fire to burn"
"104726724","2","the true nature of jealousy"
"104726938","1","he feared the speedy decline of all manhood"
"104727214","1","an air of mystery"
"104727214","2","the house had a neglected air"
"104727214","3","an atmosphere of defeat pervaded the candidate's headquarters"
"104727214","4","the place had an aura of romance"
"104727694","1","it ended on a sour note"
"104727694","2","there was a note of gaiety in her manner"
"104727694","3","he detected a note of sarcasm"
"104727883","1","that place gave me bad vibrations"
"104727883","2","it gave me a nostalgic vibe"
"104728068","1","the quality of students has risen"
"104728068","2","an executive of low caliber"
"104728604","1","the inn is distinguished by the fineness of its cuisine"
"104728999","1","the ultimate in luxury"
"104729328","1","the grandness of the architecture"
"104729328","2","impressed by the richness of the flora"
"104729710","1","the expansiveness of their extravagant life style was soon curtailed"
"104730367","1","a plot of great ingenuity"
"104730367","2","the cleverness of its design"
"104730797","1","she was unrecognizable because of the poorness of the photography"
"104730985","1","the scrawniness of sickly trees"
"104731309","1","he has compiled a record second to none in its wretchedness"
"104731925","1","his acting was one of the high points of the movie"
"104732067","1","he knows my bad points as well as my good points"
"104732709","1","a leader in the mold of her predecessors"
"104732852","1","her love of music remains her one saving grace"
"104732852","2","her sense of humor has to be a saving grace"
"104732852","3","the saving grace for both developments is that they are creating jobs"
"104733640","1","the changeableness of the weather"
"104734272","1","a charming Oriental fluidity of manner"
"104734272","2","a certain fluidness in his perception of time made him an unpredictable colleague"
"104734272","3","demographers try to predict social fluidity"
"104734698","1","the shiftiness of the wind caused the boat to veer unpredictably"
"104736516","1","sterling transferability affords a means of multilateral settlement for....trade between nondollar countries"
"104737020","1","the inconvertibility of their currency made international trade impossible"
"104738398","1","the absoluteness of the pope's decree could not be challenged"
"104738641","1","early mariners relied on the constancy of the trade winds"
"104738995","1","the invariance of the configuration under translation"
"104740326","1","he had never grown accustomed to the monotony of his work"
"104740326","2","he was sick of the humdrum of his fellow prisoners"
"104740326","3","he hated the sameness of the food the college served"
"104740655","1","the fixedness of his gaze upset her"
"104741807","1","Darwin challenged the fixity of species"
"104742251","1","the incurability of his optimism"
"104742535","1","sameness of purpose kept them together"
"104743024","1","they shared an identity of interests"
"104744814","1","man created God in his own likeness"
"104745679","1","there is a remarkable homogeneity between the two companies"
"104746134","1","the nearest approach to genius"
"104746262","1","she wore a sort of magenta dress"
"104746262","2","she served a creamy sort of dessert thing"
"104746607","1","his contention contains more than an echo of Rousseau"
"104746607","2","Napoleon III was an echo of the mighty Emperor but an infinitely better man"
"104746842","1","no comparison between the two books"
"104746842","2","beyond compare"
"104747246","1","engineers strove to increase the naturalness of recorded music"
"104748836","1","there are many differences between jazz and rock"
"104749572","1","he learned the distinction between gold and lead"
"104749709","1","a growing divergence of opinion"
"104751305","1","a diversity of possibilities"
"104751305","2","the range and variety of his work is amazing"
"104751652","1","a high level of biodiversity is desirable"
"104752034","1","he goes to France for variety"
"104752034","2","it is a refreshing change to meet a woman mechanic"
"104752221","1","the growing inequality between rich and poor"
"104752734","1","it was a far cry from what he had expected"
"104752859","1","gap between income and outgo"
"104752859","2","the spread between lending and borrowing costs"
"104753060","1","he felt a gulf between himself and his former friends"
"104753060","2","there is a vast disconnect between public opinion and federal policy"
"104753455","1","his victory is a certainty"
"104753799","1","it's a dead cert"
"104754440","1","the finality of death"
"104755783","1","she believed in the importance of moral absolutes and moral certainty"
"104755783","2","the prosecutor had a moral certainty that the prisoner was guilty"
"104756172","1","for a while mutiny seemed a probability"
"104756172","2","going by past experience there was a high probability that the visitors were lost"
"104756887","1","the uncertainty of the outcome"
"104756887","2","the precariousness of his income"
"104757350","1","predicting his success was a slam dunk"
"104757522","1","the dubiousness of his claim"
"104757522","2","there is no question about the validity of the enterprise"
"104758452","1","impossibility should never be confused with improbability"
"104758452","2","the improbability of such rare coincidences"
"104759134","1","her work is highly contentious because of its speculativeness and lack of supporting evidence"
"104759428","1","the realm of factuality must be distinguished from the realm of imagination"
"104761960","1","his dreams all turned to smoke"
"104761960","2","it was just smoke and mirrors"
"104762633","1","the particularity of human situations"
"104762915","1","add a desirable note of specificity to the discussion"
"104762915","2","the specificity of the symptoms of the disease"
"104763147","1","host specificity of a parasite"
"104763293","1","so absorbed by the movement that she lost all sense of individuality"
"104763650","1","that singularity distinguished him from all his companions"
"104765166","1","the pervasiveness of the odor of cabbage in tenement hallways"
"104765355","1","he was surprised by the prevalence of optimism about the future"
"104765586","1","the currency of ideas"
"104765851","1","the totality of war and its consequences"
"104765851","2","the all-embracing totality of the state"
"104766059","1","the simplicity of a crystal"
"104766275","1","he enjoyed the complexity of modern computers"
"104767023","1","the tapestry of European history"
"104767182","1","these puzzles are famous for their trickiness"
"104767347","1","he was famous for the regularity of his habits"
"104768657","1","his compulsive organization was not an endearing quality"
"104768657","2","we can't do it unless we establish some system around here"
"104769716","1","the water was a glassy smoothness"
"104769716","2","the weather system of the Pacific is determined by the uninterrupted smoothness of the ocean"
"104770911","1","he kept a record of price fluctuations"
"104772191","1","due to the rockiness of the land it was quickly dry even after a heavy rain"
"104772388","1","the ruggedness of the mountains"
"104772557","1","the hilliness of West Virginia"
"104774511","1","there was too much play in the steering wheel"
"104774743","1","the restlessness of the wind"
"104774901","1","the Spanish ships had superior speed and weatherliness"
"104775185","1","he walked with the wiggliness of a child on high heels"
"104775357","1","he hadn't counted on the slackness of the rope"
"104776021","1","the shakiness of the present regime"
"104777634","1","the lodgment of the balloon in the tree"
"104778114","1","a man of granite"
"104778267","1","sureness of hand"
"104778630","1","he was charmed by the sweetness of her manner"
"104778630","2","the pleasantness of a cool breeze on a hot summer day"
"104779053","1","a well trained staff saw to the agreeableness of our accommodations"
"104779053","2","he discovered the amenities of reading at an early age"
"104779336","1","the enjoyableness of an afternoon at the beach"
"104779649","1","the recent unpleasantness of the weather"
"104780396","1","the policy's unpalatability caused an uproar"
"104780755","1","I flinched at the nastiness of his wound"
"104781349","1","the vileness of his language surprised us"
"104783888","1","he questioned the tenability of my claims"
"104785908","1","he accepted the naturalness of death"
"104785908","2","the spontaneous naturalness of his manner"
"104786595","1","the simple sincerity of folk songs"
"104786763","1","the spontaneity of his laughter"
"104786994","1","I am never at ease with strangers"
"104788011","1","don't put on airs with me"
"104792357","1","he questioned the adequacy of the usual sentimental interpretation of the Golden Rule"
"104794580","1","the pursuit of electoral palatability"
"104796725","1","the unexpectedness of the warm welcome"
"104798700","1","some words in her dialect had a charming quaintness"
"104799133","1","ethnicity has a strong influence on community status relations"
"104799344","1","the strangeness of a foreigner"
"104799612","1","he loved the exoticism of Egypt"
"104802907","1","he was beginning to doubt the accuracy of his compass"
"104802907","2","the lawyer questioned the truth of my account"
"104803209","1","the atomic clock enabled scientists to measure time with much greater accuracy"
"104803430","1","he demanded exactness in all details"
"104803430","2","a man of great exactitude"
"104803702","1","he examined the essay with the greatest minuteness"
"104803880","1","he handled it with the preciseness of an automaton"
"104803880","2","note the meticulous precision of his measurements"
"104804169","1","I marveled at the trueness of his aim"
"104804947","1","misunderstandings can often be traced to a looseness of expression"
"104805304","1","biblical inerrancy"
"104805813","1","he denies the errancy of the Catholic Church"
"104806316","1","he could not explain the irreproducibility of the results of his experiment"
"104806655","1","it has the distinction of being the cheapest restaurant in town"
"104807050","1","there were many children whose deservingness he recognized and rewarded"
"104808639","1","his charm soon won him affection and popularity"
"104808639","2","the universal popularity of American movies"
"104808965","1","skiing is hot stuff in New Hampshire"
"104809642","1","the law is still in effect"
"104811767","1","they acted with such obvious shadiness that they were instantly recognizable"
"104811767","2","the shadiness of their transactions"
"104811995","1","a man of intellectual refinement"
"104811995","2","he is remembered for his generosity and civilization"
"104812268","1","she conveys an aura of elegance and gentility"
"104812636","1","the simplicity and elegance of his invention"
"104812871","1","he wooed her with the confident dash of a cavalry officer"
"104813066","1","the daintiness of her touch"
"104813066","2","the fineness of her features"
"104814238","1","for magnificence and personal service there is the Queen's hotel"
"104814238","2","his `Hamlet' lacks the brilliance that one expects"
"104814238","3","it is the university that gives the scene its stately splendor"
"104814238","4","an imaginative mix of old-fashioned grandeur and colorful art"
"104814238","5","advertisers capitalize on the grandness and elegance it brings to their products"
"104814872","1","the eclat of a great achievement"
"104815002","1","entered with much eclat in a coach drawn by eight white horses"
"104815177","1","she has a lot of class"
"104815916","1","he criticized the woodenness of the acting"
"104815916","2","there was a certain woodenness in his replies"
"104816302","1","there is an important difference between rusticity and urbanity"
"104817564","1","the crudeness of frontier dwellings depressed her"
"104821084","1","the controversy brought clearly into focus an important difference of opinion"
"104822524","1","the inscrutability of the future"
"104823031","1","all the noise in his speech concealed the fact that he didn't have anything to say"
"104824118","1","the author's elusiveness may at times be construed as evasiveness"
"104824350","1","the Conservative manifesto is a model of vagueness"
"104824350","2","these terms were used with a vagueness that suggested little or no thought about what each might convey"
"104825815","1","but there is still a twilight zone\, the tantalizing occurrences that are probably noise but might possibly be a signal"
"104825815","2","in the twilight zone between humor and vulgarity"
"104825815","3","in that no man's land between negotiation and aggression"
"104827652","1","forgave us our sins and cleansed us of all unrighteousness"
"104829282","1","in those days a wife had to depend on the mercifulness of her husband"
"104831437","1","the relentlessness or their pursuit"
"104832951","1","rural people show more devotion and unselfishness than do their urban cousins"
"104834817","1","the greediness of lawyers"
"104835260","1","self-love that shut out everyone else"
"104835724","1","his drive and energy exhausted his co-workers"
"104835950","1","a man of action"
"104836683","1","Europeans often laugh at American energy"
"104836960","1","She had dinner and got a second wind to finish painting"
"104836960","2","the employers\, initially taken by surprise at the pace of developments\, regained their second wind"
"104837425","1","the team was full of fight"
"104838210","1","I couldn't believe her boldness"
"104838210","2","he had the effrontery to question my honesty"
"104838510","1","he had the audacity to question my decision"
"104838727","1","he despised them for their presumptuousness"
"104839154","1","the judge recognized the fairness of my claim"
"104840715","1","God's grace is manifested in the salvation of sinners"
"104840715","2","there but for the grace of God go I"
"104841358","1","he showed no consideration for her feelings"
"104843270","1","he had a special antenna for public relations"
"104843429","1","his defensiveness was manifested in hurt silence"
"104843429","2","the fear of being sued for malpractice has magnified physicians' defensiveness"
"104843675","1","after so many suicide bombings the Israelis have to resist developing a bunker mentality"
"104844478","1","he has a tin ear for dialogue"
"104844891","1","there was a dullness in his heart"
"104844891","2","without him the dullness of her life crept into her work no matter how she tried to compartmentalize it."
"104846383","1","the bluntness of a Yorkshireman"
"104848492","1","a person of unflagging conscience"
"104848866","1","his care in observing the rules of good health amounted to a kind of religiousness"
"104849241","1","there is much good to be found in people"
"104850341","1","he feels he is in the right"
"104850341","2","the rightfulness of his claim"
"104850589","1","the immorality of basing the defense of the West on the threat of mutual assured destruction"
"104850996","1","the luxury and corruption among the upper classes"
"104850996","2","moral degeneracy followed intellectual degeneration"
"104850996","3","its brothels\, its opium parlors\, its depravity"
"104850996","4","Rome had fallen into moral putrefaction"
"104851421","1","ambitious men are led astray by an infection that is almost unavoidable"
"104852088","1","attempts to explain the origin of evil in the world"
"104852534","1","the invaders did their worst"
"104852534","2","so pure of heart that his worst is another man's best"
"104852962","1","this deformity and filthiness of sin"
"104853503","1","there will always be a few people who\, through macho perversity\, gain satisfaction from bullying and terrorism"
"104854604","1","he feels that you are in the wrong"
"104854976","1","ancient Egyptians believed in the divinity of the Pharaohs"
"104855641","1","every politician fears to touch that holy of holies\, the Social Security System"
"104857490","1","he kept fighting on pure spunk"
"104857490","2","you haven't got the heart for baseball"
"104857738","1","he showed great heroism in battle"
"104857738","2","he received a medal for valor"
"104858785","1","the proposal required great boldness"
"104858785","2","the plan required great hardiness of heart"
"104860369","1","faintness of heart and infirmity of purpose"
"104861486","1","his resoluteness carried him through the battle"
"104861486","2","it was his unshakeable resolution to finish the work"
"104862236","1","this kind of tension is not good for my nerves"
"104862382","1","He trusted her clear steadiness that she would do what she said"
"104862592","1","sturdiness of moral principle"
"104862888","1","a charming host without any touch of stiffness or pomposity"
"104863969","1","a man of unusual decisiveness"
"104864200","1","his determination showed in his every movement"
"104864200","2","he is a man of purpose"
"104865114","1","his diligence won him quick promotions"
"104865114","2","frugality and industry are still regarded as virtues"
"104865722","1","the intentness of his gaze"
"104865921","1","his singleness of purpose"
"104866671","1","the volatility of the market drove many investors away"
"104866866","1","the king's incurable indecisiveness caused turmoil in his court"
"104867130","1","his sincerity inspired belief"
"104867130","2","they demanded some proof of my sincerity"
"104867440","1","in sooth"
"104867700","1","the singleness of his motives could not be questioned"
"104869106","1","a man of honor"
"104869569","1","he expects to find in us the common honesty and integrity of men of business"
"104869569","2","they admired his scrupulous professional integrity"
"104869811","1","in a world where financial probity may not be widespread"
"104869811","2","he enjoys an exaggerated reputation for probity"
"104872016","1","he acted in good faith"
"104872016","2","doubt was expressed as to the good faith of the immigrants"
"104872958","1","the girl's motherliness made her invaluable in caring for the children"
"104873305","1","the gentleness and fatherliness of the strange old man eased her fears"
"104874223","1","an embarrassing sleaziness that I hope will be corrected by the more ethical newspapers"
"104875113","1","the speciousness of his argument"
"104878101","1","they rode the same wave of popular patriotism"
"104878101","2","British nationalism was in the air and patriotic sentiments ran high"
"104879498","1","the widespread disaffection of the troops"
"104881033","1","the innocencies of childhood"
"104881369","1","they took advantage of her simplicity"
"104881623","1","he insisted on discipline among the troops"
"104882968","1","he was a model of polite restraint"
"104882968","2","she never lost control of herself"
"104883243","1","an effective temperateness in debate"
"104883436","1","the British like to keep a stiff upper lip"
"104885398","1","she danced with abandon"
"104885609","1","the flexibility and looseness of the materials from which mythology is made"
"104885784","1","poetry is a sort of divine madness"
"104886881","1","it was beneath his dignity to cheat"
"104886881","2","showed his true dignity when under pressure"
"104888510","1","every subordinate sensed his contemptuousness and hated him in return"
"104889000","1","he hated the white man's superiority and condescension"
"104889527","1","not everyone regards humility as a virtue"
"104890546","1","his knowledgeability impressed me"
"104890546","2","his dullness was due to lack of initiation"
"104891010","1","a man of discernment"
"104891683","1","the crowd laughed at the absurdity of the clown's behavior"
"104893787","1","the Scots are famous for their economy"
"104894964","1","a life characterized by thriftlessness and waste"
"104894964","2","the wastefulness of missed opportunities"
"104895246","1","the experience destroyed his trust and personal dignity"
"104895979","1","his suspiciousness destroyed his marriage"
"104896317","1","neatness and fastidiousness of dress"
"104897152","1","the program was withdrawn because of the squeamishness of some viewers"
"104897152","2","he refused to allow squeamishness to deter him from his duty"
"104898087","1","he has the manners of a pig"
"104898208","1","award for good citizenship"
"104899416","1","it is not good form to brag about winning"
"104900357","1","a place where the company of others must be accepted with good grace"
"104903813","1","he accepted their problems with composure and she with equanimity"
"104904162","1","keep your cool"
"104909887","1","Liza had always had a tendency to wildness"
"104909887","2","the element of wildness in his behavior was a protest against repressive convention"
"104910684","1","he behaved with great dignity"
"104910973","1","his fingers have learned gentleness"
"104910973","2","suddenly her gigantic power melted into softness for the baby"
"104910973","3","even in the pulpit there are moments when mildness of manner is not enough"
"104911420","1","the formality of his voice made the others pay him close attention"
"104911894","1","she served coffee with great stateliness"
"104913839","1","in deference to your wishes"
"104913839","2","out of respect for his privacy"
"104915121","1","the whole town was famous for its crudeness"
"104916342","1","a study of the physical properties of atomic particles"
"104918210","1","rivaling a hawk in directness of aim"
"104918498","1","what some people take for rudeness is really straightforwardness"
"104918767","1","the immediacy of television coverage"
"104919011","1","the pointedness of his sarcasm was unmistakable"
"104920000","1","the lack of robustness in the findings may be due to the small size of the sample"
"104920237","1","a place with the rurality of a turnip field"
"104920435","1","he has a stubborn streak"
"104920435","2","a streak of wildness"
"104921011","1","my only inheritance was my mother's blessing"
"104921011","2","the world's heritage of knowledge"
"104921417","1","he is a lawyer with a sports background"
"104921576","1","free public education is the birthright of every American child"
"104921900","1","a woman of breeding and refinement"
"104923743","1","he comes from good origins"
"104924103","1","it was replaced because of its age"
"104924491","1","his chronological age was 71 years"
"104926038","1","she liked the old cottage; its quaintness was appealing"
"104926728","1","she loved the freshness of newly baked bread"
"104926728","2","the freshness of the air revived him"
"104927098","1","crispness of new dollar bills"
"104927098","2","crispness of fresh lettuce"
"104928903","1","her dignified manner"
"104928903","2","his rapid manner of talking"
"104928903","3","their nomadic mode of existence"
"104928903","4","in the characteristic New York style"
"104928903","5","a lonely way of life"
"104928903","6","in an abrasive fashion"
"104929422","1","an imaginative orchestral idiom"
"104929976","1","his treatment of space borrows from Italian architecture"
"104930139","1","she adjusted the drape of her skirt"
"104930307","1","I admired the fit of her coat"
"104930478","1","his resentment took the form of extreme hostility"
"104930850","1","life in fashion's fast lane has taught her a lot"
"104931267","1","it takes time to learn the setup around here"
"104931428","1","this room needs a woman's touch"
"104931733","1","in no wise"
"104931733","2","in this wise"
"104931837","1","he adjusted the hang of his coat"
"104931965","1","artists must study the structure of the human body"
"104931965","2","the structure of the benzene molecule"
"104932278","1","the architecture of a computer's system software"
"104933363","1","providing a factual framework for future research"
"104933363","2","it is part of the fabric of society"
"104934220","1","breadfruit has the same texture as bread"
"104934220","2","sand of a fine grain"
"104934220","3","fish with a delicate flavor and texture"
"104934220","4","a stone of coarse grain"
"104934546","1","wool has more body than rayon"
"104934546","2","when the dough has enough consistency it is ready to bake"
"104935528","1","the mutual adhesiveness of cells"
"104935528","2","a heated hydraulic press was required for adhesion"
"104936846","1","he disliked the thinness of the soup"
"104937043","1","adding lead makes the alloy easier to cast because the melting point is reduced and the fluidity is increased"
"104937043","2","they believe that fluidity increases as the water gets warmer"
"104937587","1","the costs of reducing hardness depend on the relative amounts of calcium and magnesium compounds that are present"
"104942172","1","moisture retentivity of soil"
"104942373","1","he has a problem with urinary retention"
"104942869","1","a swelling with a disposition to rupture"
"104943154","1","the aptness of iron to rust"
"104943154","2","the propensity of disease to spread"
"104943578","1","accident proneness"
"104943704","1","separatism is a serious problem in Quebec"
"104943704","2","demands for some form of separatism on grounds of religion have been perceived as a threat to mainstream education"
"104944048","1","the alkaline inclination of the local waters"
"104944048","2","fabric with a tendency to shrink"
"104944910","1","cytoplasmic basophilia"
"104945057","1","a man of many desires"
"104945254","1","a thirst for knowledge"
"104945254","2","hunger for affection"
"104946760","1","this piano has a wonderful touch"
"104946877","1","the wall had a smooth texture"
"104947186","1","admiring the slim smoothness of her thighs"
"104947186","2","some artists prefer the smoothness of a board"
"104947628","1","he could feel the slickness of the tiller"
"104947888","1","she could smell the soapiness of the doctor's hands"
"104948069","1","the fineness of the sand on the beach"
"104950026","1","the optics of a telescope"
"104950336","1","the sleekness of his appearance reminded me of his financial successes"
"104950713","1","saw the board across the grain"
"104951373","1","he could paint the lightest light and the darkest dark"
"104952570","1","a glare of sunlight"
"104953380","1","he had a sparkle in his eye"
"104953380","2","there's a perpetual twinkle in his eyes"
"104955633","1","the brightness of the orange sky was reflected in the dullness of the orange sea"
"104956419","1","the softness of the morning sky"
"104956594","1","a white color is made up of many different wavelengths of light"
"104957356","1","the primary colors for pigments are red\, blue\, and yellow"
"104957589","1","the primary colors for light are red\, blue\, and green"
"104957854","1","the primary subtractive colors for light are magenta\, cyan\, and yellow"
"104958302","1","a mellowness of light and shade not attainable in marble"
"104958460","1","the fire-light gave a richness of coloring to that side of the room"
"104958865","1","it was not dull grey as distance had suggested\, but a mottle of khaki and black and olive-green"
"104959230","1","after several trials he mixed the shade of pink that she wanted"
"104961136","1","a complete bleach usually requires several applications"
"104966240","1","an amber light illuminated the room"
"104966240","2","he admired the gold of her hair"
"104968426","1","they painted it a light shade of bluish green"
"104968895","1","he had eyes of bright blue"
"104973110","1","she wore dun"
